word,chamber,d_count,r_count,cosine_distance
safety,House,42,20,0.00083100796
safety,Senate,36,6,0.0020270348
security,House,51,63,0.00045102835
security,Senate,45,34,0.0007439852
innovation,House,83,68,0.00041890144
innovation,Senate,47,35,0.0008339882
technology,House,236,116,0.0003222823
technology,Senate,112,49,0.0014368296
privacy,House,43,30,0.00048214197
privacy,Senate,51,13,0.0014678836
rights,House,34,12,0.0016132593
regulation,House,21,8,0.003952861
risk,House,20,10,0.0011832714
jobs,House,30,13,0.001392901
jobs,Senate,13,9,0.002499342
protect,House,82,41,0.00033187866
protect,Senate,92,29,0.00062072277
