word,log_odds,freq_d,freq_r,total
color,3.0477595590374236,33,0,33
intimate,2.8886948644077366,28,0,28
black,2.817235900425591,53,1,54
unregulated,2.740274859289462,24,0,24
deceptive,2.5171313079752533,39,1,40
discriminatory,2.354612378477478,16,0,16
energycommerce,2.354612378477478,16,0,16
discrimination,2.354612378477478,16,0,16
unauthorized,2.354612378477478,16,0,16
workers,2.174640999028478,70,4,74
bias,2.0603729054795386,37,2,39
invasive,2.0471276787295167,24,1,25
communities,1.937312812722312,55,4,59
voters,1.9192943072196336,32,2,34
democracy,1.9040268350888452,64,5,69
ads,1.8885226485528799,31,2,33
m,1.823984127415308,19,1,20
elections,1.8037814200977893,97,9,106
algorithmic,1.7726908330277578,18,1,19
civil,1.7369727504256787,54,5,59
pleasure,1.7186236117574811,17,1,18
pushing,1.7186236117574811,17,1,18
harm,1.6614651979175328,33,3,36
harms,1.641662570621353,24,2,26
robocalls,1.600840576101099,23,2,25
preventing,1.600840576101099,23,2,25
built,1.6008405761010973,15,1,16
biased,1.6008405761010973,15,1,16
aigenerated,1.566155018113208,84,10,94
spread,1.5363020549635271,44,5,49
facebook,1.5363020549635262,14,1,15
swift,1.5363020549635262,14,1,15
michigan,1.5024005032878458,28,3,31
potus,1.5024005032878458,28,3,31
liberties,1.4673091834765764,20,2,22
fakes,1.4673091834765764,41,5,46
decisions,1.4673091834765764,20,2,22
calling,1.4673091834765755,27,3,30
trust,1.4673091834765755,27,3,30
tsa,1.4185190193071442,19,2,21
laws,1.408468683453643,32,4,36
protections,1.3776970247868894,31,4,35
deep,1.367225724919594,18,2,20
algorithms,1.3539804981695713,24,3,27
glad,1.3296878056005283,60,9,69
month,1.3131585036493174,17,2,19
generative,1.2921050944514842,46,7,53
ill,1.279256951973637,28,4,32
disinformation,1.2643683394798853,39,6,45
announce,1.256000089809369,16,2,18
internet,1.256000089809369,16,2,18
ip,1.256000089809369,16,2,18
electric,1.256000089809369,16,2,18
voice,1.2486199825117454,44,7,51
roundtable,1.2390505314955949,38,6,44
sure,1.2108796545288998,64,11,75
accountable,1.2077979879914924,26,4,30
director,1.2077979879914924,26,4,30
too,1.1953754679929345,31,5,36
recognition,1.1870072183224174,237,44,281
housing,1.1864067980101733,36,6,42
ready,1.1796271110247947,20,3,23
protection,1.1796271110247947,20,3,23
smart,1.170057660008645,25,4,29
transparency,1.1473662488065735,60,11,71
facial,1.135175348453961,230,45,275
own,1.1308369468553634,29,5,34
consequences,1.1308369468553625,14,2,16
making,1.1308369468553625,54,10,64
fcc,1.1308369468553625,24,4,28
fec,1.1308369468553625,14,2,16
wrote,1.1308369468553625,14,2,16
cant,1.1140298285389818,58,11,69
enforcement,1.1124878081871659,53,10,63
nist,1.096935395179682,28,5,33
things,1.0900149523351086,23,4,27
consumers,1.0747474802043184,51,10,61
times,1.0618440753684126,13,2,15
fair,1.0618440753684126,13,2,15
integrity,1.0618440753684126,13,2,15
then,1.0618440753684126,13,2,15
misinformation,1.0618440753684109,41,8,49
holding,1.047455337916313,22,4,26
place,1.047455337916312,45,9,54
law,1.0428681739094054,86,18,104
without,1.03774652378935,40,8,48
action,1.0355267670510377,49,10,59
senschumer,1.0254764311975357,17,3,20
deserve,1.0030035753454776,21,4,25
theres,0.9683180173575874,16,3,19
change,0.9683180173575874,33,7,40
regulate,0.9683180173575874,33,7,40
introducing,0.9564835597105859,20,4,24
were,0.956483559710585,83,19,102
surveillance,0.9384650542079065,32,7,39
ban,0.9350923697292668,36,8,44
election,0.9242226974923629,60,14,74
harmful,0.9076933955411537,19,4,23
process,0.9076933955411537,19,4,23
climate,0.9076933955411537,19,4,23
another,0.9076933955411537,23,5,28
rules,0.9076933955411528,31,7,38
join,0.9076933955411528,75,18,93
keep,0.9076933955411528,75,18,93
vote,0.9076933955411519,15,3,18
solve,0.9076933955411519,15,3,18
few,0.9076933955411519,15,3,18
videos,0.9076933955411519,35,8,43
finally,0.9076933955411519,15,3,18
responsible,0.8847038773164542,42,10,52
manufacturing,0.8823755875568633,38,9,47
exciting,0.8713257513702786,26,6,32
effort,0.8651337811223581,22,5,27
especially,0.8611733799062602,41,10,51
announced,0.8564001011536035,18,4,22
put,0.8564001011536027,37,9,46
dangerous,0.8505349817012036,33,8,41
until,0.8431548744035808,14,3,17
engineering,0.8431548744035808,14,3,17
chips,0.8431548744035808,14,3,17
influence,0.8431548744035808,14,3,17
boost,0.8431548744035808,14,3,17
rights,0.8357198959160641,66,17,83
political,0.8297318540714418,36,9,45
urging,0.8092533227279004,28,7,35
study,0.8023328798833269,17,4,21
serve,0.8023328798833269,17,4,21
million,0.8023328798833269,17,4,21
safeguard,0.8023328798833269,17,4,21
girls,0.8023328798833269,17,4,21
guardrails,0.7918615800160307,56,15,71
bicameral,0.774162002916631,13,3,16
open,0.774162002916631,20,5,25
unique,0.774162002916631,13,3,16
heard,0.774162002916631,20,5,25
floor,0.774162002916631,13,3,16
bard,0.774162002916631,13,3,16
face,0.774162002916631,20,5,25
facing,0.774162002916631,13,3,16
scams,0.7741620029166301,27,7,34
thats,0.7581616615701892,92,26,118
dont,0.75006445133757,40,11,51
ftc,0.7451744660433786,16,4,20
start,0.7451744660433786,16,4,20
hosted,0.7451744660433786,16,4,20
foundation,0.7451744660433786,16,4,20
competitiveness,0.7451744660433786,16,4,20
explore,0.7451744660433786,16,4,20
stop,0.7419011406984088,60,17,77
already,0.7358431386144941,63,18,81
voices,0.7253718387471988,19,5,24
agency,0.7253718387471988,19,5,24
fake,0.7253718387471979,29,8,37
experts,0.7253718387471979,49,14,63
impacts,0.7153215028936977,32,9,41
share,0.7109831012950991,22,6,28
success,0.7000540307629084,12,3,15
