word,category,observed_distance,ci_lower,ci_upper,ci_width,bootstrap_std,p_value,significant_05,significant_01,euclidean_distance,manhattan_distance
transparency,contested,0.0014110208,0.0014289499,0.004131553,0.0027026033,0.0006915998,0.023,True,False,0.6894178986549377,12.70959
rights,contested,0.0013238192,0.0012842998,0.0032247964,0.0019404966,0.00052636914,0.004,True,True,0.6564886569976807,12.683074
regulation,contested,0.0012623668,0.0014130145,0.004078807,0.0026657924,0.00067147345,0.2624,False,False,0.6247772574424744,11.91482
risk,contested,0.0009058714,0.00096885563,0.002455807,0.0014869515,0.0003895262,0.2026,False,False,0.5532639026641846,10.370263
safety,contested,0.0008075237,0.0007820606,0.0018585459,0.0010764853,0.0002910095,0.0078,True,True,0.5176032185554504,9.058215
jobs,contested,0.0006457567,0.00075853465,0.0020117867,0.001253252,0.00034211064,0.324,False,False,0.46291103959083557,8.576275
year,control,0.0006389022,0.0007518589,0.0016273157,0.0008754567,0.0002455958,0.178,False,False,0.44493791460990906,8.616421
time,control,0.00062304735,0.00064554065,0.0018784748,0.0012329342,0.0003187787,0.1376,False,False,0.4562218487262726,8.960818
important,control,0.0005109906,0.0005463511,0.0011954219,0.00064907083,0.00016638974,0.024,True,False,0.41047903895378113,7.3958454
american,control,0.0005091429,0.00048570632,0.0010206521,0.0005349458,0.0001391869,0.0012,True,True,0.4238305687904358,7.762456
technology,contested,0.0004439354,0.00036468953,0.0007046059,0.00033991635,8.520281e-05,0.0,True,True,0.37711963057518005,7.3791037
work,control,0.00038987398,0.00033928602,0.0007761539,0.00043686785,0.00011423328,0.0004,True,True,0.3528521955013275,6.279093
congress,control,0.00036913157,0.00033564717,0.00075013196,0.0004144848,0.00011147463,0.0022,True,True,0.3436145782470703,6.1426125
privacy,contested,0.00034749508,0.00043534784,0.00097152,0.0005361722,0.00013676833,0.1322,False,False,0.336124062538147,6.661498
innovation,contested,0.000336051,0.00032549055,0.0006793961,0.00035390555,8.883881e-05,0.0028,True,True,0.3287249803543091,6.0465703
act,control,0.0002859831,0.00025528073,0.00054377766,0.00028849693,7.3989715e-05,0.0002,True,True,0.30315321683883667,5.497957
need,control,0.0002708435,0.0002833575,0.00069186994,0.00040851242,0.00010254914,0.0238,True,False,0.30394360423088074,5.808134
security,contested,0.00026595592,0.00027791708,0.00071354664,0.00043562957,0.00011568469,0.0478,True,False,0.30041980743408203,5.347329
bill,control,0.00025713444,0.0002806723,0.00060501695,0.00032434464,8.3384155e-05,0.0326,True,False,0.28575700521469116,5.3141284
today,control,0.00022214651,0.00021793545,0.0005243153,0.00030637984,7.76689e-05,0.0118,True,False,0.26542094349861145,5.042212
protect,contested,0.00021916628,0.00027404577,0.0005604387,0.00028639295,7.035663e-05,0.0754,False,False,0.26684829592704773,5.3880696
