word,freq_d,freq_r,total,log_odds
ai,1584,855,2439,0.1374683445909013
technology,383,174,557,0.30725561308547444
intelligence,256,289,545,-0.5994058036640375
artificial,252,292,544,-0.6253840858682853
amp,281,203,484,-0.15481388848484023
act,284,154,438,0.130463097770666
robotics,225,147,372,-0.055278240070567364
must,242,93,335,0.4711656954918073
use,227,98,325,0.3556248132411133
bipartisan,188,111,299,0.044647178185809544
tech,212,80,292,0.48824204545824834
today,184,101,285,0.11678204621531663
ensure,181,101,282,0.10043290821378648
recognition,237,44,281,1.1870072183224174
work,171,107,278,-0.013237715889504287
facial,230,45,275,1.135175348453961
need,199,67,266,0.6002086957931922
bill,162,102,264,-0.019579753001611522
future,163,98,261,0.026145612110870964
congress,163,94,257,0.06738857064491999
protect,181,72,253,0.4349462803496662
innovation,132,111,243,-0.3067507086520793
deepfakes,168,62,230,0.5081630229528029
great,129,94,223,-0.16494340672369567
hearing,138,85,223,0.001525671298447051
help,139,83,222,0.0322246581872534
legislation,137,80,217,0.05420356490602796
security,103,101,204,-0.4591828797216362
national,97,106,203,-0.5664623213700724
students,110,92,202,-0.30167025741966036
like,127,70,197,0.11074942129956433
people,144,52,196,0.5278408632897147
potential,126,59,185,0.2712415586577519
american,85,98,183,-0.6193735194598196
americans,115,67,182,0.05548152035151954
federal,127,53,180,0.38444525177660527
why,129,48,177,0.4971131867662182
research,91,80,171,-0.35126154320213665
data,82,89,171,-0.5595700281124047
see,125,46,171,0.5075333396626815
working,109,54,163,0.2145462149812074
technologies,92,70,162,-0.20868134946679717
week,95,64,159,-0.08864004400653958
proud,106,50,156,0.2624022361588425
privacy,102,48,150,0.26430772454027096
used,103,47,150,0.2945889226547438
here,84,64,148,-0.210336978984059
discuss,91,56,147,0.00013634363575221187
introduced,93,53,146,0.07570977012699132
first,76,69,145,-0.3832907857744132
world,62,75,137,-0.6661995794735365
support,79,49,128,-0.008597336333002303
government,82,44,126,0.13357715244754065
take,65,59,124,-0.3832907857744132
development,65,59,124,-0.3832907857744132
no,87,35,122,0.41521691044335896
should,68,52,120,-0.21478637453359983
while,56,62,118,-0.5786844241357203
critical,67,51,118,-0.21033697898405812
thats,92,26,118,0.7581616615701892
team,64,53,117,-0.2931977422473748
stem,73,44,117,0.018801637855112574
thank,82,34,116,0.3848915807284463
risks,84,31,115,0.4983143881118517
deepfake,55,60,115,-0.5641231390168997
autonomous,81,33,114,0.4017577570693538
safety,85,28,113,0.6084505006882965
create,85,28,113,0.6084505006882965
house,66,45,111,-0.10254974267686645
using,70,39,109,0.09519945734864077
china,30,78,108,-1.4140616135606132
important,54,54,108,-0.478600965578738
against,78,30,108,0.45685968240313723
competition,66,41,107,-0.011577964471139346
senate,57,48,105,-0.3099782531429449
s,66,39,105,0.037212199698291926
law,86,18,104,1.0428681739094054
companies,65,39,104,0.022174322333751384
watch,51,53,104,-0.5163412935615854
being,79,25,104,0.6453291310736615
way,62,41,103,-0.07313585747057338
were,83,19,102,0.956483559710585
forward,58,43,101,-0.18525315559127975
time,73,27,100,0.49325961745022795
am,51,48,99,-0.4191775451079378
content,74,24,98,0.620011323089372
good,58,40,98,-0.11463558837732624
continue,66,32,98,0.22958409234574795
big,61,36,97,0.037615506822128886
force,53,43,96,-0.27380655293272493
leadership,49,47,96,-0.4377789710584823
industry,65,31,96,0.2453178736479611
last,59,35,94,0.0322246581872534
aigenerated,84,10,94,1.566155018113208
address,58,36,94,-0.011981434317243078
them,61,33,94,0.12217289485019212
had,51,43,94,-0.31154688091557237
keep,75,18,93,0.9076933955411528
across,68,25,93,0.4974090009970391
join,75,18,93,0.9076933955411528
health,61,32,93,0.152025857999873
better,58,34,92,0.043588416837567756
task,48,42,90,-0.3479807831616739
down,39,50,89,-0.7215471441891275
read,47,41,88,-0.34506957295421525
threats,58,30,88,0.16494927384183544
tools,65,23,88,0.5329999460997428
public,64,24,88,0.4769104794486987
systems,63,25,88,0.4221855797594518
education,63,25,88,0.4221855797594518
vehicles,60,27,87,0.3000683884193691
improve,50,37,87,-0.18436149258079748
committee,46,40,86,-0.3420254305729875
joined,56,30,86,0.130463097770666
including,48,38,86,-0.2503423135977574
emerging,49,36,85,-0.17749587279481638
impact,50,35,85,-0.13029427131052174
school,50,34,84,-0.10212339434382578
other,57,27,84,0.24963753479247774
energy,45,39,84,-0.3388390232035796
global,37,47,84,-0.712215816760243
right,57,26,83,0.28600517896335287
threat,55,28,83,0.17945489516993796
rights,66,17,83,0.8357198959160641
workforce,56,27,83,0.23224579208060803
many,58,23,81,0.4208826479790364
leading,61,20,81,0.6040109817429302
already,63,18,81,0.7358431386144941
biometric,53,27,80,0.17817857081033228
high,49,30,79,-0.0005651646357378581
economy,49,30,79,-0.0005651646357378581
todays,48,31,79,-0.05251657026783807
leaders,55,23,78,0.36869689480846635
over,45,32,77,-0.1464671305561236
stop,60,17,77,0.7419011406984088
learn,46,31,77,-0.09418926666840655
pass,56,20,76,0.5199278645323888
care,50,26,76,0.15738780114125905
sure,64,11,75,1.2108796545288998
safe,57,18,75,0.6374030658012417
lead,33,41,74,-0.6899100592459444
opportunities,48,26,74,0.11738246652755979
election,60,14,74,0.9242226974923629
images,49,25,74,0.17532550182792583
state,43,31,74,-0.1601472344602035
america,36,38,74,-0.5312446990641595
