party,text,clean_text,posted_date,year,name,chamber
D,"Instead of unfunded executive orders and gauzy principles, American leadership in AI demands a comprehensive, forward-looking, and well-resourced approach consistent with our values.","Instead of unfunded executive orders and gauzy principles, American leadership in AI demands a comprehensive, forward-looking, and well-resourced approach consistent with our values.",2020-01-31 16:16:18.923,2020,Michael Bennet D-CO,Senate
D,"With the use of facial recognition tech on the rise, our laws need to catch up. 

We need a national data privacy standard so facial recognition can’t be used to harm or track Americans. 
https://t.co/TcLH8KfMVV","With the use of facial recognition tech on the rise, our laws need to catch up. We need a national data privacy standard so facial recognition can’t be used to harm or track Americans.",2021-07-07 00:18:00.204,2021,Suzan DelBene D-WA,House
R,"Thank you, 
@TechNetUpdate
, for the invitation! It was great to speak with your members about priorities important to us both – including autonomous vehicles and strengthening cybersecurity – and how we can advance commonsense solutions in the 118th Congress.","Thank you, @TechNetUpdate , for the invitation! It was great to speak with your members about priorities important to us both – including autonomous vehicles and strengthening cybersecurity – and how we can advance commonsense solutions in the 118th Congress.",2023-01-26 18:00:03.000,2023,"Latta, Robert ",House
R,"While America aims to use AI to improve lives, the CCP uses AI to squash dissent.

U.S. values – not the CCP’s – should shape how emerging technologies are used and developed.","While America aims to use AI to improve lives, the CCP uses AI to squash dissent. U.S. values – not the CCP’s – should shape how emerging technologies are used and developed.",2024-05-24 02:00:00.000,2024,"Kim, Young",House
D,The bipartisan Protect Elections from Deceptive AI Act is a crucial step toward ensuring that artificial intelligence is harnessed for positive change – not to undermine the trust of the American people in their elections.,The bipartisan Protect Elections from Deceptive AI Act is a crucial step toward ensuring that artificial intelligence is harnessed for positive change – not to undermine the trust of the American people in their elections.,2024-05-21 19:00:01.000,2024,"Kilmer, Derek",House
D,"It's an honor to be named to the House Task Force on AI! 

AI will impact every aspect of our society – from identity security to workforce development & beyond. We need to ensure our nation is able to both harness the potential of AI & protect against any dangers it might pose.",It's an honor to be named to the House Task Force on AI! AI will impact every aspect of our society – from identity security to workforce development & beyond. We need to ensure our nation is able to both harness the potential of AI & protect against any dangers it might pose.,2024-02-21 16:47:57.000,2024,"Foster, Bill",House
D,"Industry leaders are warning us about the risks that AI poses to humanity, and we can't ignore them.

My Digital Platform Commission Act will establish an independent agency able to keep pace with Big Tech and ensure the safe and responsible use of AI.","Industry leaders are warning us about the risks that AI poses to humanity, and we can't ignore them. My Digital Platform Commission Act will establish an independent agency able to keep pace with Big Tech and ensure the safe and responsible use of AI.",2023-06-13 22:37:05.000,2023,"Bennet, Michael F.",Senate
D,"Not only is Facebook's AI failing to pull down terrorist content, it's actively creating terrorist pages.

@StopFraud called them out on one page weeks ago, but even as I questioned a FB exec on it this afternoon, the page was STILL up.

Why should anyone take them seriously? https://t.co/LSzxgfxRFZ","Not only is Facebook's AI failing to pull down terrorist content, it's actively creating terrorist pages. @StopFraud called them out on one page weeks ago, but even as I questioned a FB exec on it this afternoon, the page was STILL up. Why should anyone take them seriously?",2019-06-26 18:49:15.239,2019,Max Rose D-NY,House
R,"Whether the victim is 
@taylorswift13
 or any young person across our country - we need to establish safeguards to combat this alarming trend.

My bill, the AI Labeling Act, would be a very significant step forward.","Whether the victim is @taylorswift13 or any young person across our country - we need to establish safeguards to combat this alarming trend. My bill, the AI Labeling Act, would be a very significant step forward.",2024-01-29 14:34:29.000,2024,"Kean, Thomas",House
D,RT @tedlieu: Today @RepYvetteClarke @RepJayapal @RepAnnaEshoo and I called on the IRS to halt its facial recognition mandate. Our letter is…,Today @RepYvetteClarke @RepJayapal @RepAnnaEshoo and I called on the IRS to halt its facial recognition mandate. Our letter is…,2022-02-07 17:11:56.845,2022,Pramila Jayapal D-WA,House
D,"AI is an emerging technology that has the potential to transform our economy and global competitiveness, but there needs to be standards to mitigate risks and protect American workers. 
@NIST
 in Boulder is helping with this!","AI is an emerging technology that has the potential to transform our economy and global competitiveness, but there needs to be standards to mitigate risks and protect American workers. @NIST in Boulder is helping with this!",2023-10-06 19:49:35.000,2023,"Hickenlooper, John ",Senate
D,"AI foundation models commonly described as a ""black box"" make it hard to explain why a model gives a particular response. Giving users more information about the model—how it was built and what background information it bases its results on—would greatly increase transparency.","AI foundation models commonly described as a ""black box"" make it hard to explain why a model gives a particular response. Giving users more information about the model—how it was built and what background information it bases its results on—would greatly increase transparency.",2023-12-22 20:09:42.000,2023,"Beyer, Don",House
R,"There is no single federal agency evaluating American leadership in critical technologies like AI and quantum computing, despite their significance to our national security and economic prosperity.","There is no single federal agency evaluating American leadership in critical technologies like AI and quantum computing, despite their significance to our national security and economic prosperity.",2023-06-08 20:07:14.000,2023,"Young, Todd",Senate
R,"As co-founder and co-chair of the Senate Artificial Intelligence (AI) Caucus, I have worked in a bipartisan manner on several key measures to set high-quality standards around emerging technology, including cybersecurity &amp; AI. https://t.co/59XLLaIVBv","As co-founder and co-chair of the Senate Artificial Intelligence (AI) Caucus, I have worked in a bipartisan manner on several key measures to set high-quality standards around emerging technology, including cybersecurity &amp; AI.",2019-11-04 01:07:20.316,2019,Rob Portman R-OH,Senate
D,"As we continue to see the concerns with AI, my colleagues 
@RepZoeLofgren
 
@tedlieu
 & I are committed to cybersecurity urging federal agencies to adopt NIST’s AI Risk Management Framework to create protections against risks & possible harms of the technology","As we continue to see the concerns with AI, my colleagues @RepZoeLofgren @tedlieu & I are committed to cybersecurity urging federal agencies to adopt NIST’s AI Risk Management Framework to create protections against risks & possible harms of the technology",2023-07-24 15:08:36.000,2023,"Stevens, Haley",House
R,"ICYMI: As the only member of Congress with a graduate degree in #AI, Investigations & Oversight Subcommittee Chair 
@JayObernolte
 shares his thoughts on how we must make use of the benefits of #ArtificialInteligence while also implementing guardrails. ","ICYMI: As the only member of Congress with a graduate degree in #AI, Investigations & Oversight Subcommittee Chair @JayObernolte shares his thoughts on how we must make use of the benefits of #ArtificialInteligence while also implementing guardrails.",2023-05-16 19:36:47.000,2023,"Obernolte, Jay",House
D,"AI is revolutionizing so many aspects of our health care system, educational institutions, and workplaces. But without guardrails, it can do more harm than good.

Responsible oversight is critical to safeguarding our communities, and consumer protections must be paramount.","AI is revolutionizing so many aspects of our health care system, educational institutions, and workplaces. But without guardrails, it can do more harm than good. Responsible oversight is critical to safeguarding our communities, and consumer protections must be paramount.",2023-11-06 22:22:13.000,2023,"Luján, Ben Ray",Senate
D,"BIG AI week this week & it’s only Wednesday.

On Monday, 
@POTUS
 signed an EO on AI guardrails. The same day, I led my colleagues in introducing bipartisan legislation for 
@NIST
 and 
@ENERGY
 to use facilities at our National Labs to test & evaluate AI to protect you from AI risks.","BIG AI week this week & it’s only Wednesday. On Monday, @POTUS signed an EO on AI guardrails. The same day, I led my colleagues in introducing bipartisan legislation for @NIST and @ENERGY to use facilities at our National Labs to test & evaluate AI to protect you from AI risks.",2023-11-01 21:40:50.000,2023,"Luján, Ben Ray",Senate
D,"Make no mistake, facial recognition’s flaws aren’t news to Facebook execs.

They have the data, they knew the dangers posed to POC and women, yet they still chose to put profit over people.

Today's move to shut these systems down only sweeps dirt under the rug.

Don’t be fooled.","Make no mistake, facial recognition’s flaws aren’t news to Facebook execs. They have the data, they knew the dangers posed to POC and women, yet they still chose to put profit over people. Today's move to shut these systems down only sweeps dirt under the rug. Don’t be fooled.",2021-11-02 22:04:44.853,2021,Yvette Clarke D-NY,House
D,X pauses Taylor Swift searches as deepfake explicit images spread,X pauses Taylor Swift searches as deepfake explicit images spread,2024-01-29 16:22:03.000,2024,"Stevens, Haley",House
R,"I spoke with 
@Politico
 Tech Podcast about the AI Policy Roadmap released last week by the Senate AI Working Group and the importance of ensuring the U.S. maintains our lead in AI innovation.",I spoke with @Politico Tech Podcast about the AI Policy Roadmap released last week by the Senate AI Working Group and the importance of ensuring the U.S. maintains our lead in AI innovation.,2024-05-20 22:53:30.000,2024,"Young, Todd",Senate
D,"After the 
@FEC
 decision to advance 
@Public_Citizen
’s petition regarding AI, it’s time for them to act.

I’m leading a letter with my colleagues urging the FEC to regulate deceptive AI in campaign ads.","After the @FEC decision to advance @Public_Citizen ’s petition regarding AI, it’s time for them to act. I’m leading a letter with my colleagues urging the FEC to regulate deceptive AI in campaign ads.",2023-10-03 22:48:43.000,2023,"Schiff, Adam",House
D,"President Grace Wang joins 
@RepMcGovern
, 
@MassRobotics
, 
@BostonDynamics
, 
@JNJMedTech
, and 
@NSF
 on Capitol Bill today for a Congressional Robotics Caucus Briefing: Building towards a National Robotics Strategy.","President Grace Wang joins @RepMcGovern , @MassRobotics , @BostonDynamics , @JNJMedTech , and @NSF on Capitol Bill today for a Congressional Robotics Caucus Briefing: Building towards a National Robotics Strategy.",2024-05-16 19:23:26.000,2024,"McGovern, James",House
